ID,line,fit,viatech,viano,pins,layno,sq,dens,dbl,netno,comp,category,ver,complexity,scope,type,duration,level
46398,lep,sns,tht,767,643,6,121.48,2.645,dbl,132,242,RG,B0,High,NEW BRD,PLT,22,5
46397,lcy,bp,tht,124,56,2,10.99,2.748,sgl,8,13,RG,M00,Medium,NEW BRD,FF,71,4
50825,gq,bb,tht,64,53,2,10.66,2.816,dbl,16,6,FP,D0,Low,MOD-MINOR,FF,15,5
234423,bis,bb,tht,216,54,2,11.16,2.89,dbl,17,4,FP,B1,Low,MOD-MINOR,FF,77,5
323372,are,mlb,cor-astk,17616,3220,6,665.97,2.896,dbl,614,887,RG,B0,Medium,MOD-MINOR,PLT,58,4
168133,ctr,bb,tht,250,56,3,11.83,2.958,dbl,18,2,FP,B1,Medium,MOD-MINOR,FF,56,5
261262,tgr,bb,tht,536,80,2,16.92,2.96,sgl,32,2,FP,E0,Medium,MOD-MINOR,FF,20,5
46408,lcy,bb,tht,957,86,2,18.54,3.018,dbl,26,2,FP,M00,Medium,NEW BRD,FF,43,5
170070,krl,db,tht,254,62,2,13.41,3.027,dbl,8,26,RG,B0,Low,MOD-MAJOR,FF,21,4
83503,vnp,db,tht,506,411,4,88.85,3.027,sgl,110,172,RG,B1,Low,MOD-MINOR,PLT,28,5
59579,lcy,bb,tht,785,92,2,21.02,3.199,sgl,24,2,FP,M00,Low,NEW BRD,FF,84,5
267028,npd,db,tht,429,218,4,50.88,3.268,sgl,41,86,RG,B0,Low,NEW BRD,PLT,26,4
261625,npd,db,tht,599,216,4,50.88,3.298,dbl,60,75,RG,B0,Low,MOD-MINOR,PLT,38,5
223124,krl,db,tht,777,299,4,72.23,3.382,dbl,69,92,RG,B1,Low,MOD-MINOR,TSB,5,5
168131,ctr,bb,tht,562,140,2,34.39,3.439,dbl,31,2,FP,B1,Medium,MOD-MAJOR,FF,48,4
48545,spep,db,tht,292,358,4,88.85,3.475,sgl,96,142,RG,B1,Medium,MOD-MINOR,PLT,19,5
48776,udb,bb,tht,272,134,2,33.62,3.512,dbl,59,51,FP,B1,Medium,MOD-MINOR,PLT,46,4
50893,arg,mlb,tht,108,30,2,7.79,3.63,sgl,4,12,RG,D0,Medium,MOD-MINOR,FF,26,4
72053,lcy,bb,tht,417,66,2,17.21,3.651,dbl,20,2,FP,M00,Low,NEW BRD,FF,14,5
234407,ced,db,tht,5,27,2,7.17,3.719,sgl,5,12,RG,B0,Low,MOD-MAJOR,FF,118,5
131420,npd,sns,tht,307,194,4,52.92,3.819,dbl,52,60,RG,B0,Low,NEW BRD,PLT,41,5
